id,message,num_users,category
435,DebuggerContextMenus.AutosWindow.EditValue,10,Debug
436,View.CommandWindow,11,Actions
437,Debug.Modules,7,Debug
438,Edit.RemovefromDiagram,7,Edit
439,Debug.Output,10,Debug
440,TeamFoundationContextMenus.WorkItems.NewQuery,10,CMO
441,EditorContextMenus.CodeWindow.Breakpoint.BreakpointLocation,8,Debug
442,Edit.SwitchtoFindInFiles,8,Search
443,Debug.StartupProjectProperties,8,Debug
444,TeamFoundationContextMenus.SourceControlExplorer.Advanced.TfsContextExplorerCloak,7,CMO
445,File.TfsChangeSourceControl,8,CMO
446,TestExplorer.OpenPlaylistFile,8,Test
447,ProjectandSolutionContextMenus.Project.NewSolutionExplorerView,10,Actions
448,Edit.QuickInfo,11,Edit
449,View.CallHierarchy,11,Actions
450,View.My Extensions,8,NULL
451,ClassViewContextMenus.ClassViewProject.View.ViewClassDiagram,7,NULL
452,View.PropertyManager,10,Actions
453,Debug.Memory1,7,Debug
454,TeamFoundationContextMenus.SourceControlExplorer.TfsContextExplorerRollback,8,CMO
455,View.CodeDefinitionWindow,8,Actions
456,DebuggerContextMenus.AutosWindow.SymbolSettings,7,Debug
457,DebuggerContextMenus.StacksWindowContextMenu.SymbolSettings,7,Debug
458,Test.TestResults,7,Test
459,View.TestResults,7,Test
460,View.CodeAnalysis,8,Analyze
461,View.Assembly Explorer,8,NULL
462,OtherContextMenus.SQLServerObjectExplorerContextMenu.SEAddSqlServerOnContextMenu,7,Data
